rank,artist,title,region,language,spotify_uri,streams,weeks_on_chart,peak_rank,lyrics
想像你離開的一刻 如果我有留下你的勇氣
我能習慣遠距離 愛總是身不由己
寧願換個方式至少還能遙遠愛著你
愛能克服遠距離 多遠都要在一起
我已經不再存在你的心裡 就讓我獨自守著回憶
如果陽光永遠都熾熱 如果彩虹不會掉顏色
你能不能不離開呢
我能習慣遠距離 愛總是身不由己
寧願換個方式至少還能遙遠愛著你
愛能克服遠距離 多遠都要在一起
你已經不再存在我世界裡 請不要離開我的回憶
請不要離開 不要離開 我的回憶"
71,Joker Xue,演员,Taiwan,zh,5Sib99jpYybZAicUMETb3h,139187,314,8,"简单点
说话的方式简单点
递进的情绪请省略 你又不是个演员
别设计那些情节
没意见
我只想看看你怎么圆
你难过的太表面 像没天赋的演员
观众一眼能看见

该配合你演出的我 演视而不见
在逼一个最爱你的人即兴表演
什么时候我们开始收起了底线
顺应时代的改变 看那些拙劣的表演
可你曾经那么爱我 干嘛演出细节
我该变成什么样子才能延缓厌倦
原来当爱放下防备后的这些那些
才是考验

没意见
你想怎样我都随便
你演技也有限 又不用说感言
分开就平淡些

该配合你演出的我 演视而不见
别逼一个最爱你的人即兴表演
什么时候我们开始没有了底线
顺着别人的谎言 被动就不显得可怜
可你曾经那么爱我 干嘛演出细节
我该变成什么样子才能配合出演
原来当爱放下防备后的这些那些
都有个期限

其实台下的观众就我一个
其实我也看出你有点不舍
场景也习惯我们来回拉扯
还计较着什么
其实说分不开的也不见得
其实感情最怕的就是拖着
越演到重场戏越哭不出了
是否还值得

该配合你演出的我尽力在表演
像情感节目里的嘉宾任人挑选
如果还能看出我有爱你的那面
请剪掉那些情节 让我看上去体面
可你曾经那么爱我 干嘛演出细节
不在意的样子是我最后的表演
是因为爱你我才选择表演 这种成全"
72,张远,嘉賓,Taiwan,zh,5jAmIkIpskwu2hRz2YaEHi,137993,188,6,"分手后第几个冬季
今天是星期几
偶尔会想起你
你突如其来的简讯
让我措手不及
愣住站在原地

当所有人都替你开心
我却才傻傻清醒
原来早已有人为你订做了嫁衣

感谢你特别邀请
来见证你的爱情
我时刻提醒自己 别逃避
拿着喜帖一步一步走近
他精心布置的场地
可惜这是属于你的风景
而我只是嘉宾
我放下所有回忆
来成全你的爱情
却始终不愿相信 这是命
好久不见的你有点疏离
握手寒暄如此客气
何必要在他的面前刻意
隐瞒我的世界 有过你

不知不觉钟声响起
你守候在原地
等待着他靠近
温柔的他单膝跪地
钻戒缓缓戴进
你的无名指里

当所有人都替你开心
我却才傻傻清醒
原来我们之间已没有任何关系

感谢你特别邀请
来见证你的爱情
我时刻提醒自己 别逃避
今天你妆扮得格外美丽
这美也曾拥在怀里
可惜这是你和他的婚礼
而我只是嘉宾
我放下所有回忆
来成全你的爱情
却始终不愿相信 这是命
说好的永远变成了曾经
我试着衷心祝福你
请原谅我不体面没出息
选择失陪一下 先离席

又不是偶像剧
怎么我演得那么入戏
这不堪入目的剧情

感谢你特别邀请
观赏你要的爱情
嘉宾也许是另一种宿命
离开你的自己事到如今
还有什么资格关心
毕竟终成眷属的人是你
而我只是嘉宾
我流尽所有回忆
来庆祝你的婚礼
却始终没有勇气 祝福你
谢谢你送给我最后清醒
把自己还给我自己
至少我还能够成为那个
见证你们爱情的嘉宾
遇见你的他真的好幸运
但愿他会比我更爱你"
73,CORTIS,FaSHioN,Taiwan,latin,4ecdsGz3Hg6TKPwQ0ZOdJz,137446,26,11,"내 티, five bucks, 바지는 만원
My vision 몇 억s, 몇 조s, Bezos
동묘, wassup? 홍대
 (What?), wassup? (Woah-woah)
I make them famous, I call that ""Fashion"" (Woah-woah)
Fashion, fashion, fashion, fashion (Woah, let's go)
Fashion, fashion (What?), fashion (What?), fashion (What?)
내 티, five bucks, 바지는 만원
Let's get it (Yeah), let's go, fashion, fashion (Huh)

안건호, 내가 산 옷 보고 뭐라고 말해도 지켜 내 고집 (Hey)
후르츠 찜해놓은 상품에 있었던 벨트는 now on my 허리, huh
Sorry, my granny, huh, 요즘 왜 안 오니? 섭하신 동묘 할머니
여긴 비행기, huh, LA에서 앨범을 끝내고 멋있게 돌아와, back on my swag
Ha, ha, 외화 talk, ha, 환율 올라 매일
구제 판, got me looking fresh (Hah, woo)
Pull up boys, 샥샥 긁어내 (Skrrt, skrrt)
Vintage 지져스

동묘에서 모여 마치 세미나
홍대에서 모여 우린 set it off
처-처-청담동 한가운데까지 spreading out (Let's get it; Brr)
Squad is on the way, but we can't wrap it up (Yeah)

내 티, five bucks, 바지는 만원
My vision 몇 억s, 몇 조s, Bezos
동묘, wassup? 홍대
 (What?), 
wassup?
 (Woah-woah)
I make them famous, I call that ""Fashion"" (Woah-woah)
Fashion, fashion (Huh), fashion (What?), fashion (Let's go)
Fashion, fashion (What?), fashion (What?), fashion (What?)
내 티, five bucks, 바지는 (Yeah) 만원 (Yee)
(Yeah) Let's get it, let's go (Let's go), fashion (Huh), fashion

Yeah, 심장이 pop out, 첫눈에 바로 cop-cop, okay
구제 짬밥 삼만원짜리 잠바, ayy-ayy-ayy
Feel like rockstar, 확 Met Gala로 갈라, let's go
Top designers, 홍대 맛보고 환장 fashion
Come and try, 동묘 생활에서 난 (Wah)
체력을 많이 닦아놔, mosh pit 하는 법 배워놔 (Yeah)
배워봐, 배워봐, 너도 빨리 배워봐
옷 무덤 속 다시 태어나, vintage 지져스 came alive

동묘에서 모여 마치 세미나
홍대에서 모여 우린 set it off
처-처-청담동 한가운데까지 spreading out (Let's get it)
Squad is on the way, but we can't wrap it up (Yeah, skrrt)

내 티 (Hoo), five bucks, 바지는 만원
My vision 몇 억s, 몇 조s, Bezos
동묘, wassup? 홍대
 (What?), 
wassup?
 (Woah-woah)
I make them famous, I call that ""Fashion""
Fashion (Hoo), fashion, fashion (What?), fashion
Fashion, fashion, fashion, fashion
Fashion, fashion, fashion (Woah), fashion (Let's go)
Fashion, fashion (What?), fashion (What?), fashion

Fashion, fashion, fashion, fashion (What?; Let's go)
Fashion, fashion, fashion, fashion
Fashion, fashion, fashion, fashion
Fashion, fashion, fashion, fashion"
74,Taylor Swift,Opalite,Taiwan,latin,3yWuTOYDztXjZxdE2cIRUa,134471,22,11,"I had a bad habit
Of missing lovers past
My brother used to call it
""Eating out of the trash""
It's never gonna last
I thought my house was haunted
I used to live with ghosts
And all the perfect couples
Said, ""When you know, you know""
And, ""When you don't, you don't""

And all of the foes, and all of the friends (Ha, ha)
Have seen it before, they'll see it again (Ha, ha)
Life is a song, it ends when it ends
I was wrong

But my mama told me, ""It's alright
You were dancing through the lightning strikes
Sleepless in the onyx night
But now, the sky is opalite, oh-oh, oh, oh, oh
Oh, my Lord
Never made no one like you bеfore
You had to make your own sunshine
But now, thе sky is opalite, oh-oh, oh, oh, oh, oh""

You couldn't understand it
Why you felt alone
You were in it for real
She was in her phone
And you were just a pose
And don't we try to love love? (Love, love)
We give it all we got (Give it all we got)
You finally left the table (Uh, uh)
And what a simple thought
You're starving 'til you're not

And all of the foes, and all of the friends (Ha, ha)
Have messed up before, they'll mess up again (Ha, ha)
Life is a song, it ends when it ends
You move on

And that's when I told you, ""It's alright
You were dancing through the lightning strikes
Sleepless in the onyx night
But now, the sky is opalite, oh-oh, oh, oh, oh
Oh, my Lord
Never met no one like you before
You had to make your own sunshine
But now, the sky is opalite, oh-oh, oh, oh, oh, oh""

This is just
A storm inside a teacup
But shelter here with me, my love
Thunder like a drum
This life will beat you up, up, up, up
This is just
A temporary speed bump
But failure brings you freedom
And I can bring you love, love, love, love (Love)

Don't you sweat it, baby, it's alright
You were dancing through the lightning strikes
Oh, so sleepless in the onyx night
But now, the sky is opalite, oh-oh, oh, oh, oh
Oh, my Lord
Never met no one like you before (No)
You had to make your own sunshine
But now, the sky is opalite, oh-oh, oh, oh, oh, oh"
75,A-Mei Chang,人質,Taiwan,zh,6OAUhxFZzaRHHC8XiuIkvb,133424,177,47,
76,sombr,back to friends,Taiwan,latin,7qjZnBKE73H4Oxkopwulqe,133225,37,71,"Touch my body tender
'Cause the feeling makes me weak
Kicking off the covers
I see the ceiling while you're looking down at me

How can we go back to being friends
When we just shared a bed?
How can you look at me and pretend
I'm someone you've never met?

It was last December
You were layin' on my chest
I still remember
I was scared to take a breath
Didn't want you to movе your head

How can we go back to being friеnds
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?

The devil in your eyes
Won't deny the lies you've sold
I'm holding on too tight
While you let go
This is casual

How can we go back to being friends
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?
How can we go back to being friends
When we just shared a bed? (Yeah)
How can you look at me and pretend
I'm someone you've never met?

I'm someone you've never met (Yeah)"
77,BABYMONSTER,DRIP,Taiwan,latin,1MUZitHRpmng5NevrvNx4T,132399,70,5,"Yeah

When I dress, I don't think so much
I could be the GOAT, I don't need too much
I'ma set a goal, I'ma eat that lunch
Baby, so cold, get that ice cream truck
Uh, 찌릿찌릿, 끼리끼리 놀아볼까?Kitty, kitty, yeah, we gonna run this town
Hittin' me up 'cause I got what they like
Baby, got no chance, better hit that dance

Mm, na-na-na, I'll be there, 고민하지 마
Uh, na-na-na, I'll be there, 망설이지 마
But you don't know 'bout me, yeah, yeah, you gon' know 'bout me, boy
아름다운 별들이 빛나는 밤이야

Mm, what you say?
끝없는 가치, you know it's all me
Got that, ooh, what you say?
Are you ready? Set, turn on the lights

Baby, got passion, ambition, 난 보란 듯이
Look at that, 온몸으로 느끼는 내 몸짓
Baby, got drip
 (
Drip
), 
drip
 (
Drip
), 
drip
 (
Drip
), 
drip
Baby, got drip
 (
Drip
), 
drip
 (
Drip
), 
drip
 (
Drip
), 
drip

Brrah, ASA, ayy

Let 'em out, monster, monster, monster came to conquer (Yеah)
Baby, holla, what's up? (What's up?)
We the best, thе rest confess, we blessed, 판을
백팔십도 바꿔 (바꿔)
Y to the G, no copy, no knock off
Bet on my life, this pitch I'm gon' walk-off
MONSTIEZ, 꽉 잡아, hold tight
끝까지 밟아, you know we gon' ride

Mmm, na-na-na, I'll be there, 고민하지 마
Uh, na-na-na, I'll be there, 망설이지 마
But you don't know 'bout me, yeah, yeah, you gon' know 'bout me, boy
아름다운 별들이 빛나는 밤이야

Mm, what you say?
끝없는 가치, you know it's all me
Got that, ooh, what you say?
Are you ready? Set, turn on the lights

Baby, got passion, ambition, 난 보란 듯이
Look at that, 온몸으로 느끼는 내 몸짓
Baby, got drip
 (
Drip
), 
drip
 (
Drip
), 
drip
 (
Drip
), 
drip
Baby, got drip
 (
Drip
), 
drip
 (
Drip
), 
drip
 (
Drip
), 
drip

Uh, 가끔 쓰러진대도
I'ma shine as bright as diamonds, say my name
다시 일어나
Now watch me do it all again (Baby, got drip)

Drip, drip, drip (Drip, drip, drip, drip)
Baby, got, baby, got, baby, got (Drip, drip, drip, drip)
Drip, drip, drip (Drip, drip)
You know we got, got that drip
 (
Baby, got drip
)
Drip, drip, drip (Drip, drip, drip, drip)
Baby, got, baby, got, baby, got (Drip, drip, drip, drip)
Drip, drip, drip (Drip, drip)
Got that drip, yeah"
78,Richael Liu,两三句,Taiwan,zh,0BkBM5rY934yzHViRhd8Em,132329,14,59,
79,Olivia Dean,So Easy (To Fall In Love),Taiwan,latin,6sGIMrtIzQjdzNndVxe397,132236,20,72,"I could be the twist, the one to make you stop
The icing on your cake, the cherry on the top
There's Heaven in my heart, and we could find you some space, mm
I could be the world to you, the missing piece
The extra sentimental kind of chemistry
Some people make it hard, with me, that isn't the case

'Cause I make it so easy to fall in love
So, come give me a call, and we'll fall into us
I'm the perfect mix of Saturday night and the rest of your life
Anyone with a heart would agree
It's so easy
To fall in love with

The way I do my hair, the way I make you laugh
The way we like to share a walk in Central Park
I could be fresh air, might be the girl of your dreams (Dreams, dreams, dreams)
There's no need to hide if you're into me
'Cause I'm into you quite intimately
And maybe one night could turn into three
Well, I'm down to see

'Cause I make it so easy to fall in love
So, come give me a call, and we'll fall into us
I'm the perfect mix of Saturday night and the rest of your life
Anyone with a heart would agree
It's so easy
To fall in love with me

(Me, me)
Me (Me, me)
Me (Me, me)
Me (Me, me)
It's so easy (Me, me)
It's so easy (Me, me)
It's so easy (Me, me)
Yeah (Me, me)

So easy to fall in love
So, come give me a call, and we'll fall into us
I'm the perfect mix of Saturday night and the rest of your life
Anyone with a heart would agree
It's so easy
To fall in love with me"
80,"Jay Chou, A-Mei Chang",不該,Taiwan,zh,5miH0BWhRVTvHAwmnoeyXH,131533,93,80,
81,Sam Lee,手放開,Taiwan,zh,2Dd9EXYXI2NNrLG61OtWQv,130682,8,81,"Yo, yo, follow me
跟我一起
Come with me to the dark side of the force
堕入原力的黑暗面
No man would boldly go to this place
没人会勇敢踏入这里
The devil only knows of this world
只有魔鬼才熟悉这个地方
So dark and, oh, so cold, it's, oh, so cold
那么黑暗，那么寒冷，那么寒冷
Oh, so cold, oh
那么寒冷

Soon as my flow starts I compose art like the ghost of Mozart
我一旦开始创作，就像莫扎特再世
Even though they all say that they're real, I know that most aren't
他们都说自己来真的，但大多都不是
Boy, you think you're clever, don't ya? Girl, you think you're so smart
小子你以为自己很聪明？小妞你以为自己很机灵？
Come with me to another side in a world so cold and so dark
那就跟我一起踏入另一个又冷又黑的世界吧

(Stay wide awake)
（保持清醒）
A world so dark, a world so cold
那么黑的世界，那么冷的世界
A world where on-ly some will go
一个只有部分人会去的世界
(Stay wide awake)
（保持清醒）
But none return, when will they learn?
但无人生还，他们什么时候才能长记性？
Where do they go? God only knows
他们去了哪儿？只有上帝才知道
(Stay wide awake)
（保持清醒）

Fe-fi-fo-fum, I think I smell the scent of a placenta
Fe-fi-fo-fum, 我闻到了胎盘的味道
I enter Central Park, it's dark, it's winter in December
走进中央公园，一片漆黑，正是12月的冬天
I see my target, put my car in park, and approach a tender
我看到了目标，于是把车停下，慢慢靠近
Young girl by the name of Brenda, and I pretend to befriend her
一个叫Brenda的年轻女孩，我试着跟她做朋友
Sit down beside her like a spider, hi there girl, you mighta
像蜘蛛一样坐在她身边，你好美女
Heard of me before, see whore, you're the kind of girl that I'd a–
你以前大概听说过我，婊子
-ssault and rape, then figure why not try to make your pussy wider
你就是那种我会强奸的女孩，给我个理由为什么不干你
Fuck you with an umbrella then open it up while the shit's inside ya
用雨伞干进去然后把伞撑开
I'm the kind of guy that's mild but I might flip and get a little bit wilder
我一向温柔，但也有可能突然爆发把它撑得更大
Impregnate a lesbian, yeah, now let's see her have triplets, and I'll di–
让蕾丝怀孕，怀个三胞胎
-sintegrate them babies as soon as they're out her with formalde–
孩子一生出来就放在甲醛和氰化物里分解掉
-hyde and cyanide, girl, you can try and hide, you can try to scream louder
你尽管试着逃跑，你尽管试着尖叫
No need for no gunpowder, that only takes all the fun out of
我不需要用枪，那会破坏杀人的乐趣
Murderin', I'd rather go vinn-vinn, and now you see just how the
我更喜欢用电锯，你现在知道了
Fuck I do just what I do when I cut right through your scalp, uhh
我的做法是直接切开你的头皮
Shit, wait a minute, I mean skull, my knife seems dull, pull another one out, uh
操说错了，是头骨，这把刀看起来有点钝，让我来换一把

Soon as my flow starts I compose art like the ghost of Mozart
我一旦开始创作，就像莫扎特再世
Even though they all say that they're real, I know that most aren't
他们都说自己来真的，但大多都不是
Boy, you think you're clever, don't ya? Girl, you think you're so smart
小子你以为自己很聪明？小妞你以为自己很机灵？
Come with me to another side in a world so cold and so dark
那就跟我一起踏入另一个又冷又黑的世界吧

(Stay wide awake)
（保持清醒）
A world so dark, a world so cold
那么黑的世界，那么冷的世界
A world where on-ly some will go
一个只有部分人会去的世界
(Stay wide awake)
（保持清醒）
But none return, when will they learn?
但无人生还，他们什么时候才能长记性？
Where do they go? God only knows
他们去了哪儿？只有上帝才知道
(Stay wide awake)
（保持清醒）

So dark and so cold, my friends don't know this other side of me
那么黑暗那么冷酷，朋友们可不知道我的这一面
There's a monster inside of me, it's quite ugly and it frightens me
我身体里有个怪物，丑陋到会吓坏我
But they can't see what I can see, there's a vacancy in my tummy
但他们看不到我看到的东西，我肚子里总是空落落的
It's makin' me play hide-and-seek like Jason, I'm so hungry
这让我总是像Jason一样玩捉迷藏，我好饿
She's naked, see, no privacy, but I can see she wants me
她赤裸着，看见吗，没有隐私，但我知道她想要我
So patient, see, I try to be, but gee, why does she taunt me?
我试着更耐心些，但是老天，她为什么总是撩拨我？
Pulls the drapes and she goes right to sleep and I creep right through the front, see
她拉上窗帘去睡觉，我偷偷进了前门
So blatantly, but silently 'cause I know that she's sound 'sleep
看起来有些莽撞，但很安静，我听声音就知道她睡着了
""Who's wakin' me so violently, and why's he on top of me?""
“谁这么粗暴地吵醒我？他为什么在我身上？”
""He's rapin' me,"" she tries to scream, ""Somebody please get him off me
“他在强奸我，”她试着尖叫，“谁来把他拉走
He's tapin' me, he's bitin' me, he's laughing like it's funny""
他在打我，他在咬我，他还在笑好像这很有趣“
She's scrapin' me, she's fightin' me, she's scratchin' like some dumb freak
她挠我，她打我，她像个傻子似的挣扎
Escapin' me, no dice, you see, I might just be Ted Bundy
想逃走，根本没门，我大概和Ted Bundy一样吧
Or Satan, gee, what a sight to see, I'm dancing in my red panties
或者是撒旦，老天，这场景真不赖，我穿着红裤衩开始跳舞
I'm crazy, but it's alright with me, man, life can be so empty
我是疯了，但我不在意，生活真的很空虚
Stay away from me 'cause I'm dancing to quite a different drum beat
离我远点，因为我的节奏与众不同

Soon as my flow starts I compose art like the ghost of Mozart
我一旦开始创作，就像莫扎特再世
Even though they all say that they're real, I know that most aren't
他们都说自己来真的，但大多都不是
Boy, you think you're clever, don't ya? Girl, you think you're so smart
小子你以为自己很聪明？小妞你以为自己很机灵？
Come with me to another side in a world so cold and so dark
那就跟我一起踏入另一个又冷又黑的世界吧

(Stay wide awake)
（保持清醒）
A world so dark, a world so cold
那么黑的世界，那么冷的世界
A world where on-ly some will go
一个只有部分人会去的世界
(Stay wide awake)
（保持清醒）
But none return, when will they learn?
但无人生还，他们什么时候才能长记性？
Where do they go? God only knows
他们去了哪儿？只有上帝才知道
(Stay wide awake)
（保持清醒）

Better try to stay wide awake or you might end up found dead by the lake
你最好保持清醒，不然多半要发现自己沉尸湖底
Soon as you lay me down to sleep, bitch, your soul I'mma try to take
一旦你跟我睡觉，贱人，我就要拿走你的灵魂
Pray for light of day right away, why do they try to fight today?
他们马上开始祈祷天明，为什么要尝试反抗？
I must make them pay twice as much, might as well put the knife away
我定要他们付出双倍代价，也许先把刀子放一边
Now I use power tools, how 'bout now, are you in the shower?
改用电锯，怎么样，你在洗澡吗？
Scour you for six hours 'til outage of power outlets
搜寻了整整6个小时直到电锯没电
How did you figure out I was down in your basement? Now ya
你是怎么知道我在地下室的？
Must've just heard the sound of my stomach growlin' from down there
现在你肯定听到我肚子叫了
Prowler, there's no one fouler, bound ya, that's how they found ya
小偷，这里可没人作弊，绑起来，他们就是这样找到你的
Face down in the tub, I drown ya with piles of downers around ya
面朝浴缸低下头，我会用成堆的镇定剂把你放倒的
Such nostalgia and power, such prowess, look how you cower
这怀旧的感觉，这力量，这非凡的技巧，看看你这畏缩的样子
Jump out on you now like I was a Jawa from fuckin' Star Wars
我要像星战里的Jawa人一样扑向你
Jabba the Hutt, biddy-bye-bye, biddy-bye-bye, it's time to die-die
你这肉虫子赫特人Jabba，你的死期到啦
Ought to not even bother to scream, it don't even matter
别费力气尖叫了，根本没有用
Amazing when grazing skin with these razor blades he waves at ya
用他平时刮胡子的剃刀来割皮肤真是太棒了
Not ya everyday Damien, bathe me in holy water
你每天都刮的是不是，Damien？用圣水为我洗浴吧
Nothing like Son of Sam, so please understand there's no gun in hand
我可不像山姆之子，所以很抱歉我手头没有枪
Where's the thrill in the hunt? There's no fun in that, here I come with axe
用枪杀人有什么刺激？那样一点也不好玩，我都是用斧子
Fun to act like lumberjack when I'm hackin' 'em up with that
像伐木工一样把伐木工砍成碎片多带劲
What was that? Dial 9-1-1, someone's comin' in from the back
那是什么？报警吧，有人从后头进来了

Soon as my flow starts I compose art like the ghost of Mozart
我一旦开始创作，就像莫扎特再世
Even though they all say that they're real, I know that most aren't
他们都说自己来真的，但大多都不是
Boy, you think you're clever, don't ya? Girl, you think you're so smart
小子你以为自己很聪明？小妞你以为自己很机灵？
Come with me to another side in a world so cold and so dark
那就跟我一起踏入另一个又冷又黑的世界吧

(Stay wide awake)
（保持清醒）
A world so dark, a world so cold
那么黑的世界，那么冷的世界
A world where on-ly some will go
一个只有部分人会去的世界
(Stay wide awake)
（保持清醒）
But none return, when will they learn?
但无人生还，他们什么时候才能长记性？
Where do they go? God only knows
他们去了哪儿？只有上帝才知道
(Stay wide awake)
（保持清醒）"
82,Kenshi Yonezu,IRIS OUT,Taiwan,latin,59hVbgr8rfYkDbHfr8RcGI,129664,25,5,"(Ah, ah, ah, ah, ah, ah)
(Ah, ah, ah, ah, ah, ah)
Ha-ha-ha
(Ah, ah, ah, ah, ah, ah)
(Ah, ah, ah, ah, ah, ah)

駄目駄目駄目 脳みその中から
「やめろ馬鹿」と喚くモラリティ
ダーリンベイビーダーリン
半端なくラブ！ときらめき浮き足立つフィロソフィ

死ぬほど可愛い上目遣い
なにがし法に触れるくらい
ばら撒く乱心 気づけば蕩尽
この世に生まれた君が悪い
やたらとしんどい恋煩い
バラバラんなる頭とこの身体
頸動脈からアイラブユーが噴き出て
(アイリスアウト)

一体どうしようこの想いを どうしようあばらの奥を
ザラメが溶けてゲロになりそう (Boom)
瞳孔バチ開いて溺れ死にそう
今この世で君だけ大正解

ダーリン (ベイビー) ダーリン (Uh-ha)
ダーリン (ベイビー) ダーリン
ダーリン (ベイビー) ダーリン (Uh-ha)
ダーリン (ベイビー) ダーリン (Ha-ha-ha)

ひっくり返っても勝ちようない
君だけルールは適用外
四つともオセロは黒しかない
カツアゲ放題 (Ha)
君が笑顔で放ったアバダケダブラ
デコにスティグマ 申し訳ねえな
(Foo) 矢を刺して (Foo) 貫いて
(Foo) ここ弱点

死ぬほど可愛い上目遣い
なにがし法に触れるくらい
ばら撒く乱心 気づけば蕩尽
この世に生まれた君が悪い
パチモンでもいい何でもいい
今君と名付いてる全て欲しい
頸動脈からアイラブユーが噴き出て

ア-ア-ア-ア-アイリスアウト
ア-ア-ア-ア-アイリスアウト
(ア-ア-ア-ア-アイリスアウト)

一体どうしようこの想いを どうしようあばらの奥を
ザラメが溶けてゲロになりそう (バーン)
瞳孔バチ開いて溺れ死にそう
今この世で君だけ大正解

ダーリン (ベイビー) ダーリン (Uh-ha)
ダーリン (ベイビー) ダーリン
ダーリン (ベイビー) ダーリン (Uh-ha)
ダーリン (ベイビー) ダーリン (Ha-ha-ha)

Rra"
83,CORTIS,"Mention Me - From The Movie ""GOAT""",Taiwan,latin,3f0OEJd7mlPNhmH3fUOrqy,128443,3,26,"I'm drinkin’, I'm leanin', I’m on like a 3 today
Alright, alright, bet, say less
Where my drink?
Hello, look
(Say Brando, what's it hittin' for?)
Okay, okay, okay, okay, yeah, okay (Let's go)
Oh, Bway, oh

I'm drinkin', I'm leanin', I’m on like a 3 today
She can’t stop from fiendin', I think she feelin’ Bway
Baby, take yo' clothes off, like Simon says, do what I say
She feelin' me, uh, uh, uh
That just ain't this time or place (Oh, no)

I try to stay away from love
You mention me, you be displaced
Get them feelings out of here, take that shit like far away
Don’t trust love 'cause that shit be fake
Far away where I keep my feelings caged
Lose intrest, evеrybody feel exchanged
Do remеmber when they killed Lil Tay?
Keep on better days, so, the drugs, they help me meditate
Oh, no, ain't shit to say, evil thoughts been inside my brain
If it's my fault, don't be shamed
No, I ain't got time to play the games
Move on if I fall over, if I win, you can do the same
My phone ring (Brr), she like, ""That's a shame,"" I pressed, ""Ignore""
Know she for the fame, she want diamond chains, Christian Dior
She like my diamond ring, she tryna figure what I paid for
I'm likin' how she came, and she pulled up Honda Accord

I'm drinkin', I'm leanin', I'm on like a 3 today
She can't stop from fiendin', I think she feelin' Bway
Baby, take yo' clothes off, like Simon says, do what I say
She feelin' me, uh, uh, uh
That just ain't this time or place

That just ain't this time or place, 'bout the fuck shit, I won't go for it
That lame shit, I won't go or that
Niggas trippin', actin' like bitches, they got hoes for that (Oh, I)
And my bitch actin' like she don't post the Act'
I hate that I got strings attached
Told Chris that I ain't goin' back
Sippin' purple, not sippin' red
Wock' hard, this hard, this not activist
He say, ""This one for big Six, made me probably zip my shit""
They know that we runnin' shit, five-star rank inside the bricks
I can't lie, I'm too legit, Bway, I'm the serious kid

I'm drinkin', I'm leanin', I'm on like a 3 today
She can't stop from fiendin', I think she feelin' Bway
Baby, take yo' clothes off, like Simon says, do what I say
She feelin' me, uh, uh, uh
That just ain't this time or place
I'm drinkin', I'm leanin', I'm on like a 3 today (Oh, oh)
She can't stop from fiendin', I think she feelin' Bway (Oh)
Baby, take yo' clothes off, like Simon says, do what I say
She feelin' me, uh, uh, uh
That just ain't this time or place

Feelin' me, uh, uh, uh
That just ain't this time or place
Oh-oh-oh
Ooh, oh-oh-oh
Ooh, oh-oh-oh
Oh, oh
Ooh, oh-oh
I think she feelin' Bway"
84,F.I.R.,月牙灣,Taiwan,zh,1b5IRT3iraxjHOsKZx93sW,128179,80,68,"敦煌天空的沙礫
帶著我們的記憶
我從半路看回去
這情關漫漫好彎曲
夢想穿過了西域
包含了多少的禪意
愛情像一本遊記
我會找尋他的謎語

看 月牙灣下的淚光
在絲路之上被遺忘

是誰的心啊 孤單地留下？
他還好嗎？我多想愛他
拿永恆的淚凝固的一句話
也許可能蒸發
是誰的愛啊 比淚水堅強？
輕聲呼喚就讓我融化
每一滴雨水演化成我翅膀
向著我愛的人追吧


夢想穿過了西域
包含了多少的禪意
愛情像一本遊記
我會找尋他的謎語

看 月牙灣下的淚光
在絲路之上被遺忘

是誰的心啊 孤單地留下？
他還好嗎？我多想愛他
拿永恆的淚凝固的一句話
也許可能蒸發
是誰的愛啊 比淚水堅強？
輕聲呼喚就讓我融化
每一滴雨水演化成我翅膀
向著我愛的人追吧


是誰的心啊 孤單地留下？
他還好嗎？我多想愛他
拿永恆的淚凝固的一句話
也許可能蒸發
是誰的愛啊 比淚水堅強？
輕聲呼喚就讓我融化
每一滴雨水演化成我翅膀
向著我愛的人追吧"
85,"Lady Gaga, Bruno Mars",Die With A Smile,Taiwan,latin,7so0lgd0zP2Sbgs2d7a1SZ,127954,81,3,"(Ooh, ooh)

I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

(Ooh, ooh)

Ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only war worth fighting for

Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

Right next to you
Next to you
Right next to you
Oh-oh

If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to youIf the world was ending
I'd wanna be next to you

(Ooh, ooh)
I'd wanna be next to you"
