rank,artist,title,region,language,spotify_uri
169,Bad Bunny,MONACO,Global,es,4MjDJD8cW7iVeWInc2Bdyj
170,"French Montana, Swae Lee",Unforgettable,Global,de,3B54sVLJ402zGa6Xm4YGNe
171,"Coolio, L.V.",Gangsta's Paradise,Global,en,1DIXPcTDzTj8ZMHt3PDt8p
172,Rihanna,Love On The Brain,Global,en,5oO3drDxtziYU2H1X23ZIp
173,Ariana Grande,we can't be friends (wait for your love),Global,en,51ZQ1vr10ffzbwIjDCwqm4
175,Lana Del Rey,Summertime Sadness,Global,en,1FEiijYPJtyswChfcpv3p0
176,Taylor Swift,Style,Global,en,0ug5NqcwcFR2xrfTkc7k8e
177,Twenty One Pilots,Stressed Out,Global,en,3CRDbSIZ4r5MsZ0YwxuEkn
178,Hotel Ugly,Shut up My Moms Calling,Global,en,3hxIUxnT27p5WcmjGUXNwx
179,Linkin Park,Somewhere I Belong,Global,en,3fjmSxt0PskST13CSdBUFx
180,Tate McRae,Sports car,Global,unknown,5UJbgR4XF4y1DvbkxEqe8S
181,The Cure,Boys Don't Cry,Global,en,1QFh8OH1e78dGd3VyJZCAC
182,"Maroon 5, Wiz Khalifa",Payphone,Global,en,1XGmzt0PVuFgQYYnV2It7A
183,Coldplay,The Scientist,Global,en,75JFxkI2RXiU7L9VXzMkle
184,Hozier,Take Me To Church,Global,en,3dYD57lRAUcMHufyqn9GcI
186,Fuerza Regida,TU SANCHO,Global,es,6eLQXa6uk2EW8drsiKbABZ
188,Nirvana,Come As You Are,Global,en,5AEOqLsRJFAoSS4ay4Jzao
189,Rihanna,S&M,Global,en,7ySUcLPVX7KudhnmNcgY2D
190,"The Chainsmokers, Coldplay",Something Just Like This,Global,en,6RUKPb4LETWmmr3iAEQktW
192,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Global,en,0RiRZpuVRbi7oqRdSMwhQY
193,Rihanna,Breakin' Dishes,Global,en,5EcG8eMMlwkHRVa4aTR1qd
195,a-ha,Take on Me,Global,en,04aigH9HRGebQZu1JAN6X1
196,Lola Young,Messy,Global,en,35ISBknsCeZQtq66xABI9g
197,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Global,ar,54PbBpquVfhfrwRwvjSXbI
198,"Calvin Harris, Ellie Goulding",Outside (feat. Ellie Goulding),Global,it,7MmG8p0F9N3C4AXdK6o6Eb
199,Oasis,Wonderwall - Remastered,Global,pl,5qqabIl2vWzo9ApSC317sa
200,"ZXKAI, slxughter",NO BATIDÃO,Global,pt,7vg9noSnFEyPfwLiaCW4vi
101,F.I.R.,我們的愛,Taiwan,zh,0Q4YuuiCuxIIKUw2fb1cmV
102,Crowd Lu,愚人節快樂,Taiwan,zh,3bQeHxH1x4pVUfsRpuLAlH
103,JOLIN,妥協,Taiwan,zh,0m1cI6aV1jq537JamnL592
104,李浩瑋 Howard Lee,無垢,Taiwan,unknown,08VBl78Lgs7VIEzCL1Btyv
105,"JISOO, ZAYN",EYES CLOSED (with ZAYN),Taiwan,en,4WFfPxJv1KRekG6mxn837K
107,Andrew Tan,天后,Taiwan,zh,4D0KlK4Fl8lotvsoys1bYQ
108,TWS,OVERDRIVE,Taiwan,ko,5qAfVxNUxjrELshgTpWxLf
110,Wu Bai,淚橋,Taiwan,zh,0NAcDn6U2GB2Arhspmh38S
111,"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),Taiwan,en,5doooVlMVRZztQbySqARMI
112,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Taiwan,en,567e29TDzLwZwfDuEpGTwo
113,TWICE,THIS IS FOR,Taiwan,en,18AMT576rBlQFMzUTS7WBa
114,高爾宣 OSN,Without You,Taiwan,zh,0KWnRv3wxjltYVB3MqjNd2
115,A-Mei Chang,如果你也聽說,Taiwan,unknown,2JH8WubSk2IWYUDBUguSQv
116,NMIXX,Blue Valentine,Taiwan,ko,4i0HNuFEH6P6K4UnsY5uUh
117,A-Lin,失戀無罪,Taiwan,unknown,2s96YKKpfBUbQP3lJuhkfX
118,G.E.M.,泡沫,Taiwan,lmo,2IfSPLPDW6RGosdB5huwAA
119,Jay Chou,七里香,Taiwan,zh,57w29bSwdIZ6gr6xXOqwc1
121,Eric Chou,怎麼了,Taiwan,zh,5cU1O9P0EDA0rPkPDykhIm
122,Leehom Wang,愛錯,Taiwan,zh,4vdX5mQE0oXkflFqsqQkUP
123,BABYMONSTER,Really Like You,Taiwan,ko,5xqM1HOndjxfH7NmyD8SVS
124,"艾薇 Ivy, 吳霏",我受夠了,Taiwan,unknown,3w71TlXbEeZeZcI7BtHy2G
125,EggPlantEgg,浪子回頭,Taiwan,zh,301mxTHzMyFOVUXl6U22sf
126,"高爾宣 OSN, Patrick Brasca",Hold On,Taiwan,zh,580BvW3DyUNoYFgQgoD2GI
127,Juice Boy,一萬公里外的你,Taiwan,unknown,6FIhcAp2lj45eFlUkTriAr
128,A-Mei Chang,掉了,Taiwan,unknown,4yLirljV93Y0vIoERjeTv5
129,"The Chainsmokers, Halsey",Closer,Taiwan,en,7BKLCZ1jbUBVqRi2FVlTVw
130,"Kenshi Yonezu, Hikaru Utada",JANE DOE,Taiwan,ja,4oE7MyJhqSD3BaHRpNs8Nl
131,"ROSÉ, F1 The Album",Messy (From F1® The Movie),Taiwan,unknown,6Wobsw9uZ0D0xkfOjxXSq9
132,Stefanie Sun,雨天,Taiwan,zh,5tZbcQ5PYID0xB0VNblmrK
133,玖壹壹,下輩子,Taiwan,zh,73Ijz3vN9KP1W5qrfNeWMI
134,Amazing Show,捲菸,Taiwan,zh,7ks6KrwN2DKhEm06X85qEK
135,TWICE,What is Love?,Taiwan,ko,5Ek40FyMPprcvtyZDjqylX
136,Stefanie Sun,我不難過,Taiwan,unknown,4XrWar13kLO1jr535AzKrQ
137,Jay Chou,說好的幸福呢,Taiwan,zh,4OoExItZJ0jePoCZDbHx4t
138,IVE,XOXZ,Taiwan,ko,2c6xH9usslUoHnOzsRhpcP
139,Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Taiwan,unknown,3OC84eKMxRJ4x0Hcwl9i4i
140,en王翊恩,嚣张,Taiwan,unknown,1vfUASvUGt3gxQ1x3T3u1C
141,831,想見你想見你想見你 - 電視劇《想見你》片尾曲,Taiwan,unknown,69zgyr5HVKdInjeKpq1qHa
142,ALLDAY PROJECT,ONE MORE TIME,Taiwan,ko,7FyKqLLICVzwBiAUtbVYUW
143,"The Chainsmokers, Coldplay",Something Just Like This,Taiwan,en,6RUKPb4LETWmmr3iAEQktW
144,Zhang Zhen Yue,愛我別走,Taiwan,zh,2fc2vUA5H3mTAr9rQoBDKt
145,Jay Chou,一路向北,Taiwan,gd,7KoqEF76fGnDYdxTSHLxcm
147,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,Taiwan,en,02sy7FAs8dkDNYsHp4Ul3f
149,"阿涵, Ayo97",感谢你曾来过,Taiwan,unknown,1JLtvvPsHwLyd2ufASdkWV
150,Khalil Fong,紅豆,Taiwan,zh,5TkQbhQm9BXONk2agDo4w9
151,IVE,Odd (GAEUL Solo),Taiwan,unknown,2dl3pNKU8pr0fcI4XrKcGF
152,David Tao,"愛, 很簡單",Taiwan,en,3OXHwY8gI2QUh0QliXBwrI
153,菲菲公主,第57次取消发送,Taiwan,zh,2xYrGeWUjwGvB0KMAfUFSd
154,Cheer Chen,太聰明,Taiwan,zh,4DCB1S7G6SmH9qlDpEVIzP
155,頑童Mj116,SPOTLIGHT,Taiwan,unknown,4IazYww9msi3dR81d9itO7
156,艾薇 Ivy,失重前幸福,Taiwan,zh,3SJgTyb8a7z66suw0kBZ0T
157,Rainie Yang,雨愛,Taiwan,zh,553GNiNqcudWfsF55RBDqz
158,CORTIS,JoyRide,Taiwan,ko,6T17ZI0glfM2IGLdUwtnLK
159,JENNIE,Mantra,Taiwan,en,1kUyOJb3fzUo8r0OCz5SQk
160,Shi Shi,少一點天份,Taiwan,zh,7lCLZlVt6g4ifoHXpXEHZm
161,Amazing Show,心悶,Taiwan,unknown,5PpuqQ7vLG2e66SUpjUVYg
162,陈村长,爱怎么了,Taiwan,zh,0c9gjnRGBRke9VmLaZWmhM
163,ZQS,这是你期盼的长大吗,Taiwan,unknown,3AKYofM0vFekNthGbpjMpN
164,Hearts2Hearts,STYLE,Taiwan,ko,5EoV2HmAlkqN1XvsIjOBZZ
166,Rene Liu,後來,Taiwan,zh,2wzXhxWPX0aODraKNXoJYY
167,sodagreen,小情歌,Taiwan,zh,4FhJ7YSRxATHnaRg4nGs6t
168,Ricky Hsiao,末班車,Taiwan,unknown,4oELKeBS6hWwN3CTuN6acA
169,"Marz23, Faye 詹雯婷",不簡單的歌 (feat. Faye 詹雯婷),Taiwan,unknown,77Y69dj99sTYGAWule3nz8
170,WOODZ,Drowning,Taiwan,ko,4xeugB5MqWh0jwvXZPxahq
171,芒果醬 Mango Jump,我喜歡你,Taiwan,unknown,6FpUCVpLvO0QXwsovSfWEa
172,JOLIN,倒帶,Taiwan,zh,4XipvtwRgtUrGb2j2l0wNG
173,Eason Chan,淘汰,Taiwan,zh,5sYtvIl1mx9QuIgwC6FDU1
174,黃小琥,沒那麽簡單,Taiwan,unknown,4xZIMRwaaBx7CZMmM6KLuh
175,"Ronghao Li, A-Mei Chang",對等關係 (feat. 張惠妹),Taiwan,unknown,0mGNDAW085Jkn8IbEalZG3
176,aespa,UP - KARINA Solo,Taiwan,unknown,5sjnkOfTLCLNfkkchI2re2
177,Amazing Show,擋一根,Taiwan,unknown,6439IQyiZV5I7aOo8UREgm
179,Sam Lee,最近,Taiwan,ja,0ONg8VCxzW3CCNDxDY0DNe
180,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Taiwan,ar,54PbBpquVfhfrwRwvjSXbI
181,LNGSHOT,Never Let Go,Taiwan,en,37xebnhvUyM8VyyDDeo65d
182,F.I.R.,Lydia,Taiwan,en,4D4KVgVNxed4Hd3rGWlCo2
183,Nicky Lee,想太多,Taiwan,zh,7IiSESHLOtsoEXTlXa0bjJ
184,颜人中,有些,Taiwan,zh,4bDJJr7yG31MApWuvEasAo
185,David Tao,普通朋友,Taiwan,zh,7CTitzr4eVIDCPUJi5Dr4B
186,Taylor Swift,Cruel Summer,Taiwan,en,1BxfuPKGuaTgP7aM0Bbdwr
187,aespa,Drama,Taiwan,en,5XWlyfo0kZ8LF7VSyfS4Ew
188,icyball 冰球樂團,能不能和我留在台北（陪我幾天）,Taiwan,unknown,63N9fNPJ5kkbvtntCwgIbm
190,Wu Bai,夢醒時分,Taiwan,zh,51fGtLs5vdK2NOumVhMXru
191,IVE,I AM,Taiwan,ko,70t7Q6AYG6ZgTYmJWcnkUM
192,BY2,我知道,Taiwan,zh,7iXPSlDdL0EQwPFtUR8ye1
193,XG,HYPNOTIZE,Taiwan,en,3fEX9NgOeklq816Fw00uoo
194,ATEEZ,Adrenaline,Taiwan,ko,2VKGO4DNyUK5UxCQB3b3DF
195,Eason Chan,十年,Taiwan,zh,25pWemriUQVrZ3yIiS2IBf
196,Eric Chou,想念你想我,Taiwan,zh,1sl9O7VLwGwdw4iXqnkbDP
197,Eric Chou,摯友,Taiwan,zh,5evE7bweEhX83fd1ZmwPjP
198,BABYMONSTER,FOREVER,Taiwan,en,7a6vvAM1cjAuyVQpqv9pmu
199,NewJeans,Ditto,Taiwan,ko,3r8RuvgbX9s7ammBn07D3W
200,马师傅,善后,Taiwan,unknown,6gYS6CQc7UMnj0Ubq3C0QT
103,Treaty Oak Revival,Missed Call,USA,en,6ybZUqlfk938oS6WeBmDab
104,Tate McRae,Sports car,USA,en,5UJbgR4XF4y1DvbkxEqe8S
105,Olivia Dean,Nice To Each Other,USA,en,7gKxCvTDWwV9wBhdeBbr3l
106,Zara Larsson,Midnight Sun,USA,en,1qRV1dKLOfH1s00b9J2LUQ
107,Riley Green,Worst Way,USA,en,1osfLqL6L2iQsirRf83ded
108,The Marías,Sienna,USA,en,0InIeZW4P6VO7dUGRM4AKH
109,Sublime,Santeria,USA,en,2hnMS47jN0etwvFPzYk11f
110,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),USA,es,7KA4W4McWYRpgf0fWsJZWB
111,Red Hot Chili Peppers,Scar Tissue,USA,en,32sx78QsGg6pKXn42XvF9L
114,Kehlani,Folded,USA,en,0bxPRWprUVpQK0UFcddkrA
115,Chris Stapleton,Tennessee Whiskey,USA,en,3fqwjXwUGN6vbzIwvyFMhx
116,Luke Combs,Sleepless in a Hotel Room,USA,en,2za9t2qpWyUpIhnJcwopPt
117,"Morgan Wallen, Tate McRae",What I Want (feat. Tate McRae),USA,es,04emojnbYkrRmv5qtJcgVP
118,Harry Styles,Aperture,USA,en,45Z3m6yazmAi4jZuW0tzW0
119,Noah Kahan,Stick Season,USA,en,0mflMxspEfB0VbI1kyLiAv
120,Don Toliver,ATM,USA,en,03auLpFLdCv4HozP4pQseu
121,Shaboozey,A Bar Song (Tipsy),USA,en,5fZJQrFKWQLb7FpJXZ1g7K
122,Kendrick Lamar,Not Like Us,USA,en,6AI3ezQ4o3HUoP6Dhudph3
124,Evanescence,Bring Me To Life,USA,en,0COqiPhxzoWICwFCS4eZcp
125,Ella Langley,Dandelion,USA,en,7FudQLDIYCX6F7ruexVn2X
126,Malcolm Todd,Sweet Boy,USA,en,59c2xv2kMzYM6HR9oY6BIa
127,Creedence Clearwater Revival,Have You Ever Seen The Rain,USA,en,2LawezPeJhN4AWuSB0GtAU
128,Justin Bieber,DAISIES,USA,en,5BZsQlgw21vDOAjoqkNgKb
130,Nirvana,Smells Like Teen Spirit,USA,en,0gucTLf7trAf37Ua1uAyAu
131,Kanye West,Heartless,USA,en,4EWCNWgDS8707fNSZ1oaA5
132,"Don Toliver, Rema",Secondhand (feat. Rema),USA,tr,4Z5KKoBGxpJo8YbDcGQXd5
133,Laufey,From The Start,USA,en,43iIQbw5hx986dUEZbr3eN
134,Twenty One Pilots,Drag Path,USA,en,0TlcczkVTGpinpkGJpT81L
135,Rihanna,Love On The Brain,USA,en,5oO3drDxtziYU2H1X23ZIp
136,Don Toliver,Gemstone,USA,en,6d9Cs2D2RSIl9c0ulgnFe8
137,Lil Uzi Vert,20 Min,USA,en,0uxSUdBrJy9Un0EYoBowng
139,Rihanna,Kiss It Better,USA,en,0UHB9METy4VCXNgkcGqHqS
140,Frank Ocean,Pink + White,USA,en,3xKsf9qdS1CyvXSMEid6g8
141,Tears For Fears,Everybody Wants To Rule The World,USA,en,2YiCMmONQcoMPX2bV1LxE0
142,Zach Bryan,Pink Skies,USA,en,4ZJ4vzLQekI0WntDbanNC7
143,"J. Cole, Miguel",Power Trip (feat. Miguel),USA,fr,2uwnP6tZVVmTovzX5ELooy
144,Nirvana,Come As You Are,USA,en,5AEOqLsRJFAoSS4ay4Jzao
145,Hozier,Take Me To Church,USA,en,3dYD57lRAUcMHufyqn9GcI
146,J. Cole,Work Out,USA,en,2wAJTrFhCnQyNSD3oUgTZO
147,Miguel,Sure Thing,USA,en,0JXXNGljqupsJaZsgSbMZV
149,Brooks & Dunn,Neon Moon,USA,en,2M38X60UJnupGPbFTkVPNQ
150,Morgan Wallen,Last Night,USA,en,583dMdiUquLMenarTp7PQm
151,Baby Keem,Ca$ino,USA,en,3VW6HJYa5l0uzGcCRA222P
152,Linkin Park,Somewhere I Belong,USA,en,3fjmSxt0PskST13CSdBUFx
153,Rihanna,Breakin' Dishes,USA,en,5EcG8eMMlwkHRVa4aTR1qd
154,Frank Ocean,Novacane,USA,en,4osgfFTICMkcGbbigdsa53
155,Frank Ocean,Thinkin Bout You,USA,en,7DfFc7a6Rwfi3YQMRbDMau
156,Tory Lanez,The Color Violet,USA,en,3azJifCSqg9fRij2yKIbWz
157,"Lil Wayne, Drake, Future",Love Me,USA,en,2XHzzp1j4IfTNp1FTn7YFg
158,SZA,Snooze,USA,en,4iZ4pt7kvcaH6Yo8UoZ4s2
160,TV Girl,Lovers Rock,USA,en,6dBUzqjtbnIa1TwYbyw5CM
161,Mazzy Star,Fade Into You,USA,en,1LzNfuep1bnAUR9skqdHCK
164,Hozier,Too Sweet,USA,en,19XpFsce28aByvCC4g89tJ
165,Jeff Buckley,"Lover, You Should've Come Over",USA,en,6Jv7kjGkhY2fT4yuBF3aTz
166,Julia Wolf,In My Room,USA,en,2Ui2JtVjnbHZuExldryCOA
167,Malcolm Todd,Roommates,USA,en,5vPUv0xziXbV4lnWeVNXNq
168,3 Doors Down,Kryptonite,USA,en,6ZOBP3NvffbU4SZcrnt1k6
169,Chris Stapleton,Think I'm In Love With You,USA,en,3Gn1zuHNLtGuGEOXwq0k7e
170,Radiohead,Let Down,USA,en,2fuYa3Lx06QQJAm0MjztKr
171,The Red Clay Strays,Wondering Why,USA,en,1HbzxLqpNVPdiBXvpC7Ovb
173,Justin Bieber,YUKON,USA,en,29iva9idM6rFCPUlu7Rhxl
174,Hotel Ugly,Shut up My Moms Calling,USA,en,3hxIUxnT27p5WcmjGUXNwx
175,Morgan Wallen,20 Cigarettes,USA,en,0YsIYFRoxkmEvbKCwTp0Tg
176,Joji,SLOW DANCING IN THE DARK,USA,en,6rY5FAWxCdAGllYEOZMbjW
177,Red Hot Chili Peppers,Can't Stop,USA,en,6ojiTSzyv2qPMWqyhUKAqz
178,Olivia Dean,The Hardest Part,USA,en,3cPoiK69oQ1SdbB2j2ulGm
179,King Von,Took Her To The O,USA,en,7fEoXCZTZFosUFvFQg1BmW
180,TLC,No Scrubs,USA,en,1KGi9sZVMeszgZOWivFpxs
181,Rihanna,Only Girl (In The World),USA,en,2ENexcMEMsYk0rVJigVD3i
182,Don Toliver,Tiramisu,USA,en,2GHKo6nrSjruvBEQbzD7Fw
183,"B.o.B, Bruno Mars",Nothin' on You (feat. Bruno Mars),USA,pt,59dLtGBS26x7kc0rHbaPrq
184,Hudson Westbrook,House Again,USA,en,1zM8S2pnIclcdTmrfFnWtX
186,Daniel Caesar,Superpowers,USA,en,736PP5LTtREkDgktNmX3Gu
187,"Baby Keem, Kendrick Lamar, Momo Boyd",Good Flirts (feat. Kendrick Lamar & Momo Boyd),USA,pt,5sHeIGDbdzw8DeO57XZKIy
189,"Tame Impala, JENNIE",Dracula - JENNIE Remix,USA,en,5yvVYFDUpbnjcnRBgjwTzM
190,The Cure,Boys Don't Cry,USA,en,1QFh8OH1e78dGd3VyJZCAC
191,Tate McRae,TIT FOR TAT,USA,en,1dByUyyoRKL99fJJ6VCQzb
192,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),USA,tr,0aB0v4027ukVziUGwVGYpG
193,"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),USA,de,5rb9QrpfcKFHM1EUbSIurX
194,Olivia Dean,Dive,USA,en,36vmaZyO0iAE6FZ7287fg2
195,"Kendrick Lamar, Jay Rock",Money Trees,USA,fr,2HbKqm4o0w5wEeEFXm2sD4
196,Prince,Purple Rain,USA,en,1uvyZBs4IZYRebHIB1747m
197,The Cranberries,Linger,USA,en,0gEyKnHvgkrkBM6fbeHdwK
199,Morgan Wallen,Whiskey Glasses,USA,en,57TEkZN3f84tFJFHFrD4pO
200,Noah Kahan,Northern Attitude,USA,en,4O2rRsoSPb5aN7N3tG6Y3v
