rank,artist,title,region,chart_date,spotify_uri
161,Fito y Fitipaldis,Me equivocaría otra vez,Spain,2026-03-05,5SMdW9cbM4wTMMPI8Ck08a
162,sombr,back to friends,Spain,2026-03-05,7qjZnBKE73H4Oxkopwulqe
163,Los Delinqüentes,El aire de la calle,Spain,2026-03-05,2PaETSKl3w3IdtLIbDnQXJ
164,"Quevedo, Pitbull",MR. MOONDIAL,Spain,2026-03-05,67LKV40NfSSGIJnm0xz6fi
165,Teddy Swims,Lose Control,Spain,2026-03-05,17phhZDn6oGtzMe56NuWvj
166,Kapo,OHNANA,Spain,2026-03-05,482PEx8hfMHSsuGtHd960A
167,"Mora, Bad Bunny, Sech",Volando - Remix,Spain,2026-03-05,0G2zPzWqVjR68iNPmx2TBe
168,Romeo Santos,Propuesta Indecente,Spain,2026-03-05,5PycBIeabfvX3n9ILG7Vrv
169,ROSALÍA,Reliquia,Spain,2026-03-05,4ORvXsPK9AJmDzm36BYcdy
170,"JC Reyes, Pirlo",REMEDIO,Spain,2026-03-05,63zeT81t627KKfZsC920QN
171,Pablo Chill-E,Resentia,Spain,2026-03-05,2ANtIUI9cipWNI685VdlZb
172,"Bad Bunny, Chuwi",WELTiTA,Spain,2026-03-05,5WEF0icHWmAZBBMglBd599
173,Anuel AA,¿Qué Nos Pasó?,Spain,2026-03-05,7k3qWn8D43a5ISa3x8lJux
174,The Goo Goo Dolls,Iris,Spain,2026-03-05,6Qyc6fS4DsZjB2mRW9DsQs
175,Beéle,quédate,Spain,2026-03-05,6VfL3MEuYeJbDlD8m011HR
176,Siloé,"Si Me Necesitas, Llámame",Spain,2026-03-05,4DEdfr4plBy97DH4YPg4At
177,"Omar Courtz, BASSYY",GANTEL y BELLAKz,Spain,2026-03-05,7cVS9dvpA6p2dIVibiGaso
178,"Sebastian Yatra, Manuel Turizo, Beéle",Vagabundo,Spain,2026-03-05,68nZjz3bLH1MM0cURT1YVH
179,SAIKO,COSAS QUE NO TE DIJE,Spain,2026-03-05,5xSt1wxZobFcLzHrFakv6z
180,"Eflexx, D.Valentino, Enry-K",Tititi,Spain,2026-03-05,1V6EjrslcQOQrKgjrUvgi1
181,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Spain,2026-03-05,3k3NWokhRRkEPhCzPmV8TW
182,"Lauta, Amigo de Artistas, Tote",Puñaladas,Spain,2026-03-05,4AL4EamHEBKPpdcFRkYdXN
183,LAJA,SETEADORA,Spain,2026-03-05,3jKrhSKDKOUlKYpNL12zjb
184,Bad Bunny,MONACO,Spain,2026-03-05,4MjDJD8cW7iVeWInc2Bdyj
185,"De La Rose, Omar Courtz",NUBES,Spain,2026-03-05,5PPYg2Fa1fCkrRBv6vIeeU
186,Omar Courtz,M U S A E L E V Á,Spain,2026-03-05,7vPsviPvbWsFd9VuftF5JT
187,"KAROL G, Feid",Verano Rosa,Spain,2026-03-05,0nafF9MxcXJBQWv3BTKtdF
188,Omar Courtz,OUTRO,Spain,2026-03-05,3nREMKR9AuM6AikqWwcAUA
189,"ROSALÍA, Rauw Alejandro",BESO,Spain,2026-03-05,609E1JCInJncactoMmkDon
190,"SAIKO, Omar Courtz",LOKENECESITAS,Spain,2026-03-05,1cQx85WypWumn7ZQjUxWQi
191,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,Spain,2026-03-05,2beS6dD5rovBxSA1zYoSHR
192,Ultraligera,Lapsus,Spain,2026-03-05,5gaHUShVDYB2kn5s0xzIAi
193,"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,Spain,2026-03-05,5ddFjrPG8NgQQ6xlOQIVd2
194,Don Omar,Dile,Spain,2026-03-05,69Ej1xrGjOcHvIMtMKxK0G
195,Fito y Fitipaldis,La casa por el tejado,Spain,2026-03-05,428cFrawSqeLoyooQjAW9d
196,"Yapi, SOUNDPLUG",POR TI,Spain,2026-03-05,3Ip1sc72P5uz8BUB9kb4QQ
197,La Oreja de Van Gogh,Rosas,Spain,2026-03-05,4waqcUQWdj0yH26STWl2Rq
198,C. Tangana,Mala Mujer,Spain,2026-03-05,067QpM2xLhK24hTiovC3Zo
199,Sabrina Carpenter,Manchild,Spain,2026-03-05,2BwO5K8Q7EPAJSGze3AAh9
200,"John Pollõn, TylerB",Vehículo longo,Spain,2026-03-05,0GHaZd4ggGCx2RlMsDr9Vj
